1.0000,0.4217,0.8338,0.2326
1.0000,0.2624,0.6296,0.1199
0.5747,0.2688,0.7537,0.1232
1.0000,0.3177,0.4954,0.1905
0.8106,0.2958,0.9314,0.1130
0.7206,0.4808,0.9916,0.2143
0.7989,0.2399,1.0000,0.1663
0.7565,0.2553,0.7006,0.2027
0.5092,0.5656,0.2767,0.1423
0.8441,0.2017,0.8924,0.0812
0.8260,0.5215,0.9556,0.2366
0.7104,0.4205,0.4014,0.1986
0.7060,0.3327,0.7548,0.1383
0.3936,0.3953,0.8187,0.1949
0.3292,0.6383,0.5198,0.1313
0.7969,0.3432,0.3991,0.2144
0.6814,0.3288,0.5244,0.1298
0.7777,0.0000,0.8195,0.1399
1.0000,0.4207,0.3457,0.1448
0.6399,0.4591,0.8311,0.2100
0.7970,0.3938,1.0000,0.1125
0.8862,0.1452,0.8116,0.1656
0.8495,0.3709,0.8716,0.1560
0.4993,0.4024,0.3746,0.1397
0.4746,0.6261,0.6561,0.2020
0.9481,0.2503,0.7024,0.1775
0.6787,0.5840,0.7715,0.2130
0.7437,0.2360,0.2756,0.0866
1.0000,0.1713,0.6971,0.1302
0.5704,0.2464,0.9730,0.2142
1.0000,0.1633,0.8643,0.1991
0.4325,0.4657,0.8831,0.1058
0.6929,0.3792,0.6824,0.1321
0.5395,0.2225,0.2361,0.0773
0.4133,0.3761,1.0000,0.1598
0.7148,0.3116,0.9548,0.1993
0.6712,0.5091,1.0000,0.1246
0.3267,0.4380,0.7259,0.0980
0.5831,0.4770,0.8661,0.2017
0.9505,0.3554,1.0000,0.1626
0.4001,0.5320,0.4006,0.1448
1.0000,0.3098,0.9703,0.1221
1.0000,0.3686,1.0000,0.2015
0.7623,0.4606,0.8347,0.1816
0.5833,0.2769,0.7440,0.1620
0.5197,0.4985,0.3983,0.1135
0.7874,0.3254,1.0000,0.1640
1.0000,0.1874,1.0000,0.2000
0.7933,0.4219,1.0000,0.2264
0.8214,0.3218,0.6401,0.2047
0.6576,0.3458,0.8184,0.1442
0.7967,0.3601,0.7061,0.2304
1.0000,0.4371,1.0000,0.2275
0.7515,0.4933,0.7404,0.1635
0.8089,0.1539,1.0000,0.1789
0.6126,0.2481,0.7988,0.1780
0.5661,0.3670,0.5435,0.2000
0.5892,0.5120,0.3115,0.2343
1.0000,0.3470,0.9814,0.1333
0.9698,0.2396,1.0000,0.1686
0.9495,0.4851,0.5238,0.1515
0.7418,0.3364,1.0000,0.1962
0.5227,0.5029,0.3764,0.1359
1.0000,0.2180,0.8850,0.2176
0.8340,0.3424,1.0000,0.1217
0.6334,0.4529,0.9518,0.1667
0.7231,0.6055,0.3413,0.1383
0.9134,0.4291,0.9696,0.2247
