1.0000,0.3765,0.9052,0.2887,0.7757
0.9332,0.3389,0.5429,0.6418,0.1486
1.0000,0.3349,0.4873,0.7849,0.3770
1.0000,0.4399,0.7581,0.8348,0.7383
0.8895,0.4978,0.4445,0.8901,0.2275
0.8895,0.2060,0.5385,0.6247,0.5005
1.0000,0.4081,0.6470,0.9401,0.2846
1.0000,0.4704,0.7866,0.9309,0.6797
0.7908,0.2582,0.4354,0.8130,0.3134
1.0000,0.4151,0.5741,0.8894,0.0047
0.7932,0.1109,0.8268,0.4117,0.7348
0.7923,0.2125,0.5384,0.8622,0.8635
1.0000,0.4318,0.4385,0.7477,0.2798
0.3842,0.5680,0.5686,0.6918,0.6731
0.4221,0.3453,0.3820,0.7486,0.4614
0.7549,0.3126,0.6254,0.3580,0.8194
0.6027,0.1753,0.6267,0.6564,0.2626
1.0000,0.7777,0.6663,0.9341,0.4872
0.6351,0.3197,0.2810,0.3575,0.3634
0.4935,0.0604,0.5229,0.8715,0.8225
1.0000,0.2177,0.6549,0.8804,0.2542
0.8933,0.4234,0.6054,0.6010,0.2365
1.0000,0.0858,0.5659,0.8201,0.2665
0.4905,0.2411,0.6372,0.6724,0.3600
0.7617,0.1068,0.2571,0.5898,0.3843
1.0000,0.3940,0.3904,0.7434,0.6196
0.5624,0.2557,0.3293,0.6230,0.6320
1.0000,0.3841,0.5039,0.7118,0.2909
0.7406,0.3661,0.7806,0.8463,0.4414
0.8643,0.5816,0.3023,0.7181,0.8602
0.7402,0.5622,0.5360,0.6977,0.7601
1.0000,0.0884,0.3394,0.6518,0.1240
0.9933,0.3446,0.2538,0.5492,0.1517
0.5893,0.6096,0.5489,0.8774,0.2904
1.0000,0.3141,0.2540,0.8366,0.5252
0.5431,0.6479,0.5364,0.8352,0.3881
1.0000,0.2265,0.6101,0.6385,0.2458
0.3754,0.4532,0.3036,0.7303,0.1687
0.5147,0.5996,0.4977,0.9458,0.6845
1.0000,0.1362,0.8651,0.7877,0.5886
1.0000,0.2361,0.1004,0.7746,0.6296
1.0000,0.6047,0.4285,0.8592,0.3519
0.9438,0.2920,0.9209,0.8137,0.8446
0.8602,0.4004,0.6020,0.7839,0.4180
0.4775,0.4508,0.7994,0.8764,0.6373
0.6977,0.1848,0.7833,0.8493,0.3416
0.7943,0.4102,0.7631,0.8917,0.5446
1.0000,0.3497,0.6053,0.7945,0.8407
